"Correlation"
"NM_000362 :: TIMP3"	"-0.75<r<-0.5"
"NM_001034 :: RRM2"	"0.5<r<= 0.75"
"NM_001071 :: TYMS"	"0.5<r<= 0.75"
"NM_001077511 :: TCF19"	"0.5<r<= 0.75"
"NM_001112800 :: SLC8A1"	"-0.75<r<-0.5"
"NM_001112801 :: SLC8A1"	"-0.75<r<-0.5"
"NM_001112802 :: SLC8A1"	"-0.75<r<-0.5"
"NM_001159 :: AOX1"	"-0.75<r<-0.5"
"NM_001613 :: ACTA2"	"-1<r<=-0.75"
"NM_002380 :: MATN2"	"-0.75<r<-0.5"
"NM_003504 :: CDC45"	"0.5<r<= 0.75"
"NM_003537 :: HIST1H3B"	"0.5<r<= 0.75"
"NM_003686 :: EXO1"	"0.5<r<= 0.75"
"NM_005030 :: PLK1"	"0.5<r<= 0.75"
"NM_006027 :: EXO1"	"0.5<r<= 0.75"
"NM_006342 :: TACC3"	"0.5<r<= 0.75"
"NM_006397 :: RNASEH2A"	"0.5<r<= 0.75"
"NM_007019 :: UBE2C"	"0.5<r<= 0.75"
"NM_007109 :: TCF19"	"0.5<r<= 0.75"
"NM_014791 :: MELK"	"0.5<r<= 0.75"
"NM_015393 :: PARM1"	"-0.75<r<-0.5"
"NM_018154 :: ASF1B"	"0.5<r<= 0.75"
"NM_018369 :: DEPDC1B"	"0.5<r<= 0.75"
"NM_018492 :: PBK"	"0.5<r<= 0.75"
"NM_020242 :: KIF15"	"0.5<r<= 0.75"
"NM_021097 :: SLC8A1"	"-0.75<r<-0.5"
"NM_030583 :: MATN2"	"-0.75<r<-0.5"
"NM_058172 :: ANTXR2"	"-0.75<r<-0.5"
"NM_130398 :: EXO1"	"0.5<r<= 0.75"
"NM_181799 :: UBE2C"	"0.5<r<= 0.75"
"NM_181800 :: UBE2C"	"0.5<r<= 0.75"
"NM_181801 :: UBE2C"	"0.5<r<= 0.75"
"NM_198859 :: PRICKLE2"	"-0.75<r<-0.5"
