"PCA0001"	"PCA0002"	"PCA0003"	"PCA0005"	"PCA0007"	"PCA0008"	"PCA0009"	"PCA0010"	"PCA0011"	"PCA0012"	"PCA0013"	"PCA0014"	"PCA0015"	"PCA0017"	"PCA0018"	"PCA0020"	"PCA0021"	"PCA0022"	"PCA0024"	"PCA0025"	"PCA0026"	"PCA0027"	"PCA0028"	"PCA0029"	"PCA0030"	"PCA0031"	"PCA0032"	"PCA0033"	"PCA0034"	"PCA0035"	"PCA0036"	"PCA0037"	"PCA0038"	"PCA0040"	"PCA0050"	"PCA0052"	"PCA0054"	"PCA0056"	"PCA0057"	"PCA0058"	"PCA0062"	"PCA0063"	"PCA0064"	"PCA0065"	"PCA0066"	"PCA0068"	"PCA0073"	"PCA0074"	"PCA0075"	"PCA0077"	"PCA0080"	"PCA0081"	"PCA0082"	"PCA0083"	"PCA0084"	"PCA0086"	"PCA0087"	"PCA0089"	"PCA0090"	"PCA0092"	"PCA0093"	"PCA0094"	"PCA0095"	"PCA0096"	"PCA0097"	"PCA0099"	"PCA0100"	"PCA0101"	"PCA0103"	"PCA0104"	"PCA0105"	"PCA0107"	"PCA0108"	"PCA0109"	"PCA0110"	"PCA0111"	"PCA0112"	"PCA0113"	"PCA0114"	"PCA0115"	"PCA0117"	"PCA0118"	"PCA0119"	"PCA0120"	"PCA0122"	"PCA0123"	"PCA0124"	"PCA0125"	"PCA0126"	"PCA0127"	"PCA0128"	"PCA0129"	"PCA0130"	"PCA0132"	"PCA0133"	"PCA0134"	"PCA0135"	"PCA0136"	"PCA0141"	"PCA0144"	"PCA0145"	"PCA0146"	"PCA0147"	"PCA0149"	"PCA0150"	"PCA0151"	"PCA0155"	"PCA0156"	"PCA0157"	"PCA0158"	"PCA0159"	"PCA0160"	"PCA0161"	"PCA0162"	"PCA0163"	"PCA0164"	"PCA0165"	"PCA0167"	"PCA0168"	"PCA0169"	"PCA0170"	"PCA0171"	"PCA0172"	"PCA0173"	"PCA0174"	"PCA0175"	"PCA0176"	"PCA0178"	"PCA0179"	"PCA0180"	"PCA0181"	"PCA0182"	"PCA0184"	"PCA0187"	"PCA0188"	"PCA0189"	"PCA0190"	"PCA0193"	"PCA0194"	"PCA0199"	"PCA0200"	"PCA0201"	"PCA0206"	"PCA0207"	"PCA0208"	"PCA0209"	"PCA0210"	"PCA0211"	"PCA0213"	"PCA0215"
"NM_000362 :: TIMP3"	3.11745231648008	3.0614427688643	2.87313877453771	2.95937848588083	2.90909598966617	2.96813068708703	2.94612875032453	3.14690283212822	3.11994521478699	2.92448249217932	2.91635304869996	2.94469061376286	3.39934101808465	2.85739239128115	3.05729386831929	2.88573557682922	2.92919845433548	2.88261273589358	2.81205252791586	2.83939356893569	3.03307489805299	3.05378821007268	2.95667306475316	2.97169893701947	3.02682746245184	2.87905438337053	2.78901310386054	2.99819098909913	2.90598807288843	2.95359277319681	2.97133523107195	2.82910977511336	2.97080355940348	2.81445984564178	2.90758906721007	2.88733627397948	2.84882411172102	3.10840326646919	2.76377400357271	2.79119615119087	2.95779458002495	2.6963796419397	2.66631967376252	2.96785912475574	2.86085687261589	3.00123832069907	2.81828788710609	2.88243239557521	2.83731973824241	3.02517315879267	2.85932461452607	2.61480658658797	2.7771729602727	2.71605202245683	2.67217776706696	2.8192699008818	2.76444700564201	2.67410752496434	2.92766419309754	2.63941328423037	2.89562976560932	2.83253709521594	2.97195911824603	2.85493479027091	2.8927785281819	2.99595661637725	2.90762818697067	3.0129064468124	2.94254543853716	2.85028148611478	2.9394108641257	2.71076726168991	2.66154877467571	2.92670802341725	2.71197462983118	3.0594516432992	2.72843443578948	2.91778805458538	2.62690605039485	2.64766135605567	2.92778563239258	2.59935367052272	2.80284084392941	2.86428918927301	2.88908521273564	2.78576850362025	2.73874176332152	2.99532494920021	2.89021716890575	2.73088036105402	2.74650477876197	2.66609117013796	2.52323439293468	2.92219632125945	2.83551338191165	2.75890745911014	2.6958796903878	2.91749733614547	2.84069222870451	2.76301007513978	2.82451659006185	2.87099562781375	2.9465936838535	2.72006381638592	2.96903574265877	2.82747603831603	2.73227377348311	2.68425388612831	2.69405390037737	2.64121676888389	2.96510252451245	2.82899991331757	2.84674608241565	2.71693529558202	2.7617024226023	2.90347026549391	2.85399711343557	2.62770772155645	2.83350988755908	2.94088247700841	2.99290285208964	2.75717051976274	2.92164276016034	2.86773654101824	2.8626751651978	2.85674374745048	3.0555096343228	2.76941072931293	2.72385525128483	2.50751068777986	2.48722466650636	2.57242241260756	2.74916192698823	2.80793979721516	2.74833322449307	2.4421522765233	2.6593498696808	2.80241303546064	2.51927010283039	2.43848715809239	2.58888951844433	2.71332511056622	2.50200813702754	2.53014409983128	2.577623930206	2.54097582350344	2.64919365206229	2.61746806345749	2.47501523763184	2.55233333113814
"NM_001034 :: RRM2"	2.03428255006213	2.0328716923153	2.08227428521345	2.1078360362623	2.05507464625263	2.10393232460155	2.05327975208443	1.955426503604	2.15266726044733	2.00472496219546	2.01985295318488	2.01258243607388	1.96536326313242	2.1405983634625	2.15109036813223	2.17283699752074	2.08310117894629	2.06372353526123	2.06613404684673	2.05602090114707	2.03586377563766	2.0553538534969	2.24611423623984	2.17583269241288	2.15163459866498	2.10514064152345	2.16275713367533	2.06698480691014	2.16289045613166	2.05069995554485	2.22109356506396	2.11062125070465	1.99523593002631	1.94583195331059	2.13401699345937	2.079947484656	2.15318823727789	2.48512430026769	2.21680438590963	2.07579208409588	1.996149037077	2.04417610264751	2.01675167236324	2.05278805705095	2.07432672356128	2.0103957306329	2.24736028479669	2.03960201963534	2.05143364371644	2.11050861423006	2.14604348831409	1.99699433914639	2.11871218104278	2.11020176607768	2.11050023917717	2.0780833159663	2.077979774469	2.01337992986331	2.040141399664	2.04992323441946	1.99968090140179	2.18896369663281	2.01663666481174	2.04511475158693	2.13229176678813	1.96609530678184	2.07047171984577	2.06151085089904	2.18683960523312	2.00174695302214	2.07043622290232	2.13858382478687	2.17237962876736	2.07166950435689	2.12867301159628	2.09770217442031	2.15269131929333	2.08443671075361	2.10132661866887	2.17137417518626	2.12129294677131	1.9716829233864	2.05526782579586	2.04722654545999	2.05865521445117	2.02287346703216	2.1089591811718	2.02568358530183	2.05860820028885	2.01937744765225	2.27165832068073	2.25315846012128	2.31686979491402	2.01940612448465	2.2503433777371	2.09602698174334	2.33979947460621	2.17013914693044	2.10022901867404	2.05836615893885	2.16148955287175	2.01064495071977	2.11360464135125	2.10221625950167	2.07280594085974	2.15604170547246	2.11732577370514	2.24440488045757	2.3042371954483	2.07615603336287	2.06130877668613	2.05178184862541	2.10028496671471	2.18451615319897	2.07400228752751	2.16247463909323	2.1729762501225	2.08920976390175	2.08944915791221	2.04702107267787	2.15769995046309	2.14278208451581	2.26966921613234	1.93464941604936	2.08736016764308	2.08822953016289	2.07042903864408	2.08542692095917	2.17772135072656	2.20809541906684	2.27087759489262	2.34002612226228	2.27873846366469	2.34391980424136	2.17367104450618	2.11226864262606	2.71663956070791	2.6727589637155	2.26663849836889	2.47919525673145	2.43784395690922	2.12909839601588	2.59730352567647	2.26349365012447	2.26443830849924	2.34368094382491	2.57084759490701	2.09783733203939	2.50004193319157	2.65893827649046
"NM_001071 :: TYMS"	2.35136789421079	2.13033494659259	2.17747264891446	2.25767894099101	2.12232249427502	2.22807186285164	2.27577038305523	2.21129043307178	2.28174854270874	2.15712021543292	2.21342975542086	2.18018297400992	2.1861980375285	2.2539466680457	2.25550692038032	2.17283227932877	2.18374172013777	2.14767962584102	2.14581210606352	2.17391518341432	2.24812318605084	2.16385088012541	2.22603978536921	2.25785156965876	2.27908795162515	2.18842983591333	2.24350867562965	2.26094804488068	2.21776394701153	2.24178377251394	2.29283583418868	2.1924851080804	2.43243010635097	2.20954062108241	2.26385190082024	2.25899932664605	2.34623540732504	2.48321821523244	2.30646972756912	2.30919222003595	2.23879034891244	2.17844458940901	2.16953251289131	2.25055687271985	2.20950716047708	2.23120305964951	2.35615898599688	2.26083927279965	2.25607206613214	2.26332939372924	2.24449569381158	2.17422285961504	2.26423254097871	2.17859453065201	2.29462587933567	2.21680667874939	2.21194100088769	2.1959527902483	2.28079178588192	2.24374910969851	2.24024594689432	2.25770021213936	2.24734105073175	2.25307462080169	2.24741123407982	2.20607190617048	2.26020328512443	2.19214404152677	2.21130342872556	2.20607833828632	2.18547956526641	2.24765918439352	2.16685515080488	2.20133785410751	2.27134321151405	2.26657616123614	2.24283158401825	2.29172367334347	2.22155451247011	2.28914267928628	2.26383381662247	2.1812378154812	2.26630762910569	2.21369196454193	2.27133629321645	2.16019557841822	2.26208682469594	2.18353713681407	2.19230626667245	2.13052232160183	2.32997943838425	2.34801401819961	2.32948409690224	2.24475180140807	2.22449247002892	2.21244613556696	2.41333067102753	2.29627115158241	2.17306158647273	2.1934706262207	2.35160849297849	2.23500503761337	2.29771477203165	2.25766583363728	2.42325812710684	2.32157434323098	2.17373621197695	2.31553387735808	2.41068087018729	2.25480897031666	2.14475971860394	2.19041330712323	2.25441676754702	2.33896585103424	2.27934984832406	2.33811088056292	2.29409819833495	2.18494408557295	2.22873219110864	2.16747287909471	2.33109261420271	2.16183409650122	2.33755354976914	2.19461773318383	2.29016919966509	2.22901489304824	2.24128271891918	2.23938094111882	2.27830473417453	2.28839108160806	2.36984025401997	2.53665987482539	2.30358152695922	2.31480961654732	2.27496176841309	2.28730344298815	2.54190547263545	2.65065358033984	2.34735887447873	2.64962583557778	2.46861583597337	2.29451113139596	2.49020229465959	2.4553312045572	2.3732780079157	2.43863924146263	2.63422799375687	2.21466302785849	3.05096695574932	2.56924231807194
"NM_001077511 :: TCF19"	2.22576818230816	2.22358003346906	2.24914840145351	2.17758422793675	2.23991596471486	2.1630934357796	2.21917858246015	2.31974103742821	2.31612145520397	2.1928612728441	2.23054862390101	2.2323352522458	2.29641329852694	2.30206208647627	2.23381616851911	2.26305700167652	2.22262376530615	2.23274158189883	2.29923829269151	2.18799879265118	2.35007352665055	2.19393511576748	2.24730741719101	2.15559435979	2.18212025622424	2.28077265769717	2.30623655624211	2.17031360736456	2.25642969622252	2.17088937554258	2.238570415183	2.15008434109404	2.1665579242163	2.30920138976882	2.25615496144243	2.23794147889542	2.27083483125365	2.24849430001537	2.28970970830619	2.15304906064576	2.23577803630866	2.2123872571575	2.16940036182122	2.2075076548561	2.260667173379	2.18701192298413	2.27622661153889	2.26565591727647	2.25386848408597	2.29127358472221	2.22326618782984	2.22193579064187	2.15504616851443	2.20210628031047	2.20820420288461	2.14262392879554	2.12945804936385	2.26138830613467	2.17264920951531	2.15734242335326	2.18863354429723	2.32021226381313	2.21888676023735	2.17450664097027	2.26263967742487	2.15766985280806	2.21129841790825	2.21334818299324	2.17356996449618	2.15527333314086	2.21594004868608	2.23969667674102	2.20681282802155	2.17998515744662	2.2993230922367	2.23333386871374	2.18904063175619	2.21381879748374	2.2470589282389	2.23139513357298	2.32710832197577	2.18279845449905	2.2485292626547	2.17745446066603	2.29012353741791	2.21720070644507	2.16144888746066	2.19919457420201	2.18609231976033	2.13441660890205	2.29636872351944	2.2606940070538	2.35372191843287	2.26342981213531	2.29441388131645	2.14163212783071	2.21254197368259	2.24491535505106	2.21931582157076	2.22637599117084	2.21476686519445	2.19251437608244	2.25951219160495	2.20548618449894	2.16816131944451	2.2850128485658	2.24666379130201	2.25146741198183	2.30790876042481	2.22569035317161	2.33625297098499	2.18488828468464	2.14242867137109	2.21047488107485	2.22592954958132	2.24777093311783	2.28796863192838	2.18437968573528	2.16838118860554	2.20807231284655	2.26642031512965	2.14976400188258	2.30608629014276	2.16439438482084	2.24091402650029	2.29782490487623	2.34396476916985	2.22626918615857	2.39151061138945	2.28091375597787	2.33702389799543	2.25135649903929	2.29658475746347	2.29502870312661	2.33266704003471	2.24063812981683	2.40506556690807	2.43176197541306	2.37869423164035	2.36102924107929	2.30990658624766	2.24536207008831	2.32341699924947	2.33531321934488	2.47449956775885	2.262892543845	2.44330568349504	2.22716766962693	2.60278379734071	2.38983733433449
"NM_001112800 :: SLC8A1"	2.4365675431103	2.25356946773549	2.33695777190858	2.36026314934874	2.28029768924853	2.36649486282699	2.43718740288468	2.79191455384625	2.70742508974177	2.24009396891838	2.26439292327405	2.33203974380111	2.74862493980808	2.24790751746051	2.32885097092766	2.35809022947167	2.2167744974349	2.50378802401641	2.16160147731654	2.26405535931079	2.30061194114609	2.65024374098198	2.59025095688147	2.2706586887601	2.49094995256952	2.36368977337019	2.08856845519574	2.30618757566386	2.30903874460079	2.30206982136881	2.28010343961414	2.38121247422044	2.28003639845868	2.26056396826927	2.52243424342877	2.19845374734769	2.15888247713777	2.27957576714315	2.20621437995792	2.3271260137045	2.49827344207981	2.25211093525883	2.00301794093938	2.39782113397806	2.27937328833859	2.59753229655793	2.56812552700254	2.31686385266974	2.23626720815544	2.50941867070563	2.22713275109865	2.15464114993188	2.37184270456425	2.28315379171903	2.10986375096081	2.29791428590668	2.11665304507822	2.02497718253377	2.56762932813352	2.12326858892251	2.35543037930555	2.26835927501305	2.42581998466578	2.30746998692157	2.32896926885519	2.50787896200887	2.43789076731128	2.54908097966577	2.52539970064345	2.35679665581921	2.39311614465679	2.19502035204412	2.02118074724794	2.41100390111847	2.33220473270516	2.41428744174811	2.04027801242382	2.26801487817802	2.14025962494561	2.06283215304976	2.3913128055578	2.1438302757324	2.19947259255009	2.20331200348696	2.38522180315129	2.24143093686359	2.18827530585572	2.50131748461015	2.23243223329832	2.11471967674551	2.2620347774182	2.13732400955002	2.09094497476757	2.25402801317177	2.26853806638305	2.10061805947802	2.03359791970437	2.17681086403245	2.21095530424087	2.12762592634231	2.32743667157949	2.1532954771927	2.41030690005794	2.14939541575314	2.28077189394091	2.28249024116016	1.92884162008072	2.01324866389476	2.11065684648897	2.22102632674041	2.37310321167069	2.25731182211372	2.20273168635026	2.15630298393038	2.14011245059886	2.18187850807452	2.2307557121602	2.03155324357463	2.09287112423103	2.22116401870157	2.31911193917146	2.04808237873629	2.10211234366327	2.3408355857244	2.26464156457861	2.19289004798037	2.58300456334949	2.33145343223536	2.10823952758346	1.90545930570885	1.98093055060642	2.25022312660544	2.05431065816954	1.90985215962814	1.89326482272534	1.7773644606456	1.93568714409604	1.94278262267238	2.01245643455814	1.99530486654643	1.92431951838906	2.07182278319256	1.77992570338945	1.98171916602808	2.06810491652394	1.96355968278803	1.80192531797165	1.8347651222746	1.8532167217711	1.7058160892749
"NM_001112801 :: SLC8A1"	2.46985395826387	2.25553039542359	2.36152996632692	2.40108152165821	2.30320670633943	2.3730337956054	2.48793476133376	2.84670175439699	2.75280893791329	2.25316093879569	2.25841001947362	2.35467249492965	2.80402627291198	2.23448393193319	2.36502789221256	2.37039089293271	2.21829442924849	2.50191492842182	2.17785939821924	2.27507282943429	2.33111135012268	2.70551052160257	2.63590339523284	2.30128131089239	2.50632902506061	2.37581222434482	2.07581515291146	2.3284971589217	2.32069808485315	2.32190999669892	2.30607165041727	2.40827377107071	2.28294433894513	2.29419676452521	2.57142654111239	2.21451779987981	2.17392530664149	2.31877716885596	2.21445252850709	2.3692197371906	2.52954214973532	2.28683156185313	2.00977830654633	2.44947901125445	2.3179272091923	2.62388257218025	2.61052162771792	2.32717403047844	2.23253559381856	2.53042303652066	2.26006516165391	2.14595584654584	2.39381787743762	2.29584607444938	2.09260033379345	2.31620679729299	2.1068031882973	2.01120053991371	2.60905748512251	2.1211618129434	2.38501207257924	2.23677815063216	2.46211313456451	2.32369903012282	2.33742251522894	2.54769112071966	2.47210921759489	2.60171227609321	2.55616040612616	2.38472936852325	2.4110306509126	2.18811986135679	2.02167899643507	2.44639831372752	2.32845037695788	2.42601587945117	2.0132508814462	2.27815101553159	2.12394370895919	2.04639037310802	2.414693198536	2.15502200789772	2.20767664871993	2.20305632103393	2.41065023745128	2.2675640015003	2.2097533914755	2.56080715568461	2.24923445799335	2.11393616470957	2.27710906577673	2.1341505314151	2.08772378674471	2.26414633987223	2.26417898288977	2.09251441528543	2.02510961114973	2.14412149614434	2.23510836617678	2.11019505617098	2.354069849472	2.16196998452197	2.4439218250025	2.13105264817944	2.25295975019719	2.29337476270503	1.90037079630824	2.02584664481257	2.06289519591446	2.20901862030897	2.37191504125396	2.27980866639369	2.23653286409507	2.15030670812682	2.13976550342887	2.17367028927026	2.20870247093533	1.98643896838352	2.07553470997825	2.22434555104059	2.33064465931645	2.05119937881451	2.10231478373879	2.38344649049236	2.28022748018749	2.18444785982221	2.5977884532513	2.36827942081026	2.0854763450394	1.84165204952853	1.92339168909564	2.2610696498281	2.00417313106875	1.84006116007645	1.80916719431999	1.73200637904031	1.8803229314298	1.93555994652095	1.96977993555124	1.92931222099983	1.87612947122569	2.03521050958844	1.73229416220703	1.93887300102653	2.01834423147546	1.90488177784243	1.76144396676883	1.8112743126564	1.82300068168438	1.65748803695861
"NM_001112802 :: SLC8A1"	2.50027035316428	2.30332877111376	2.43117611132919	2.44012920410602	2.37950632308827	2.43272855610932	2.52986373182741	2.87870317087064	2.80088875416596	2.30552878074898	2.32604011709869	2.40668028233586	2.83842753647655	2.31407990168471	2.4048196279022	2.41911163589473	2.28481794543221	2.5537483223639	2.26095433124137	2.32328235262099	2.40184239239329	2.74196529604726	2.68459552485927	2.34640714970358	2.55431444331737	2.44294865557746	2.15452713844811	2.37626839461907	2.37240301307575	2.37390172254835	2.36931303971845	2.45363463158631	2.33306582725765	2.37321529813894	2.62243352201563	2.26223905254865	2.24913764785436	2.37684926688405	2.27560575218874	2.40625518618012	2.56370217618917	2.33590251089722	2.08504361178384	2.50818844301046	2.4024977836038	2.65268590827914	2.65642614172889	2.41009739583851	2.31977255094235	2.59273677667192	2.32517079466326	2.21899607647127	2.42475506110456	2.3720657274499	2.14709957423813	2.37145038486694	2.16261716255392	2.07842269805604	2.63517803908895	2.18499005423117	2.43401257817163	2.30673429933931	2.52151991534807	2.37157864376818	2.40510939823428	2.5945720272717	2.53475792578485	2.64360295853329	2.59533970677145	2.43844089487221	2.46312633569234	2.25773561292841	2.08314452072319	2.49864122129407	2.4056135965418	2.47353561590619	2.07801014735441	2.35101903122622	2.19057259063499	2.12169777809571	2.49130089396038	2.2132637564252	2.29630257260803	2.2733221384057	2.48551789681406	2.34472192968455	2.26576021953661	2.61811244383836	2.31392737217785	2.17596259156703	2.3527408431526	2.21480743948558	2.15250221627186	2.33567082460204	2.33778152447358	2.16051816293664	2.08317043069188	2.22583851208728	2.28391829126822	2.17840341570209	2.40855056349652	2.23732582717328	2.49574999512423	2.19376722040067	2.30301574444399	2.34600994648319	1.99409477876411	2.10459154391603	2.1476763242411	2.28436153412986	2.43221337291942	2.34150691528861	2.29871529021176	2.21689882479814	2.22733232626452	2.24968797972817	2.26792273779984	2.07584172644558	2.15309042703389	2.28788759667322	2.41043312071854	2.10088056233017	2.18551713393528	2.41731353331313	2.35029981676564	2.268686086792	2.63855783519301	2.43270766102429	2.16760841100692	1.92144323924516	2.0201867690496	2.31021160527061	2.07646880709642	1.9278786221031	1.89747775273061	1.81030364264425	1.98786596408578	2.00152767186192	2.06505436360784	1.99161411151416	1.96181461329684	2.12244742972154	1.79892122778398	2.01646672822073	2.09884066368256	1.93796370239011	1.85073087062006	1.88570409098694	1.90714491090286	1.72263733633052
"NM_001159 :: AOX1"	2.31160148239703	2.03796973867662	2.25222465879579	2.29560843585511	2.52668834617704	2.124004927355	2.65814519387105	2.5470263392797	2.495994684562	2.3671374943	2.27675500278809	2.51588010680812	2.84293752334585	2.13517483757728	2.32079193556454	2.50217451931157	2.21972767844035	2.44381551459718	2.20252442625737	2.06215872377355	2.30249278291423	2.35445245703581	2.25774578966363	2.30987097212674	2.13730082315654	2.19410917664818	1.93038532466397	2.14113420358318	2.26134517865504	2.18329291739765	2.24736639602691	2.34963662015367	2.06902891312922	2.79838161276658	2.20149130647115	2.10085308723251	2.07478719357136	2.09445341236508	2.08303966122057	2.05818104732517	2.37079895623154	2.54876594249785	2.00232932747949	2.35555366677303	2.26384280467117	2.2628871175199	2.65588421897724	2.27055879083095	2.40123494420472	2.35502490319369	2.15517575962963	2.01866352915296	2.19214689407973	2.12450550840328	2.00029118370327	2.54265176607868	2.16881389946097	2.12382373772171	2.38369675182957	2.02019088082054	2.48473182267119	2.28427520838335	2.3592073915362	2.13648605028792	2.22170460588012	2.42245924755973	2.25616693880043	2.48369483598387	2.50720212481657	2.57903712567318	2.37816504071145	2.41127980781469	2.02936454713001	2.27239889294083	2.15484973759991	2.27875837920381	1.98659837790245	2.25330745141274	2.08994400852101	1.97465651669375	2.2790475224731	2.0437765107798	2.01454162995251	2.43157783091888	2.25539983159498	2.2100104743143	2.07952330309998	2.39580794959118	2.13976478293466	2.03145118194479	2.17334265960169	2.23782878139757	2.06573608038154	2.15431319330949	2.14874901293942	1.91610391206847	2.01613403032137	1.96445600840645	2.06974630200792	2.13100202174205	2.30829724010298	2.43021266063514	2.70001654672466	2.07630687551423	2.28626439376164	2.20870517579347	2.04841247389687	1.89161512644316	2.1685140547224	2.06226016361874	2.45532019532524	2.13841444791496	2.10852234478658	2.0585562587761	2.12486455972669	2.07738495719564	2.2155062254941	1.98291986496429	2.06692334903184	2.48800357427549	2.37092410724905	1.93112707167947	1.94865429213433	2.10725663954106	2.04537407981217	2.26581793083513	2.52028782290171	2.15849192565703	2.07225800008712	1.94783226188058	2.04871693636704	1.76074104009073	1.95652133317676	1.893406596005	1.84396237828352	1.78649426486084	1.9501642059398	1.90178590469391	2.05619424270389	2.00326235323266	1.96751053456855	1.96960499118437	1.83910501178789	1.94724365696076	2.0938317123286	1.7926547048008	1.73634923050096	1.99749527973154	1.91406741537915	1.64795141387288
"NM_001613 :: ACTA2"	3.8838610562903	3.59942125446339	3.69690380992064	3.78081892776043	3.73174634397153	3.86149964014664	3.8523213382389	4.00864665568183	3.8834375663396	3.66740976390677	3.59487435041847	3.76668647529361	4.03170141951126	3.67223779357135	3.70731018189035	3.76405804281656	3.64746391708842	3.84483979796255	3.62359798554407	3.63307444108215	3.74390212413093	3.91196860330475	3.94528610972919	3.76814011209036	3.88231493086605	3.71066138872603	3.46429352798184	3.73212000111919	3.78258602181923	3.75606923573393	3.81189006581823	3.73189521637035	3.69013561769342	3.92102368919479	3.77848723208416	3.71381416960811	3.57495285397438	3.64119025724253	3.48526699693135	3.7783200156392	3.81242616602671	3.61759707358913	3.49460464384974	3.84837668000465	3.81203314289749	3.88222291087123	3.842695486187	3.84736552200627	3.76221387555229	3.89073233475546	3.73258735690161	3.59003147301545	3.76604591194438	3.67915635106764	3.44619755973817	3.6664593407719	3.51981280991179	3.41945761074464	3.89764282086654	3.50539212063213	3.80949273864232	3.62625072232214	3.86015603744108	3.69971792417074	3.72871159616205	3.85323360416951	3.78797706249865	3.89735200004546	3.82121917041484	3.65010666217337	3.79845145418644	3.56232194155297	3.17468211293355	3.80983316671922	3.6834939774811	3.82533542107596	3.46541770887458	3.80599995257599	3.56495343177747	3.36734836696815	3.71546311663849	3.62016971848879	3.55482359165511	3.6115922427012	3.79426674212268	3.7567930621125	3.60470152498699	3.89538998071824	3.56235717422703	3.63089231636788	3.7606644785551	3.62193066376818	3.49817966407854	3.69799012551503	3.62353406139582	3.3726389825405	3.59139735597529	3.54042968653606	3.64211634498908	3.57550826680279	3.7286761488326	3.71610112392077	3.86845518072494	3.61436468622847	3.6709576117108	3.66720844749692	3.00090306306861	3.40095532776601	3.46768551605696	3.60458147376696	3.86903577993138	3.79256280699129	3.67563479863182	3.59061843112475	3.66011007140035	3.58918027875378	3.7411555244059	3.42651078482981	3.57709900668502	3.76114821168121	3.82725205740608	3.49503001301111	3.59024905022522	3.75971685494776	3.72643623822453	3.7153649067027	3.89040136820786	3.74926617570192	3.4109138347957	3.03951902188607	2.75335953653706	3.08953225544479	3.13718139362265	3.11736246286893	3.11583120700141	3.07446769039719	2.9698723817426	2.95777012841408	2.49806699765253	2.5430439996445	2.85829357111279	2.86693165381423	3.11861444839738	2.82500960796741	2.48262749365641	2.52489285841488	3.00342765979458	2.92726971162737	2.97188794380648	2.88757070416615
"NM_002380 :: MATN2"	2.98215613222467	2.75978275562217	2.76482701058062	2.66357670888496	2.68548325717946	2.61103899275712	2.79562521872167	2.98119716383538	3.08566757086084	2.69860734005513	2.83131096728609	2.83751414998909	3.15126182498931	2.63923514501873	2.91131867128507	2.75480818863909	2.69561926784006	2.85764605211901	2.52436240232837	2.61305230492146	2.72833708462168	2.88898863334577	2.88675206979042	2.73456256656143	2.85983422333584	2.64358835424295	2.38332454064265	2.80762085842555	2.85786044244055	2.81161652370088	2.71306627148765	2.70340594773098	2.620137548784	2.46612097674788	2.8351958235066	2.59405838351487	2.59440779345228	2.63463945060188	2.50725336111679	2.59924623201685	2.72581226863631	2.51108288015231	2.47140744089729	2.68510230718545	2.5653057389614	2.89921766231605	2.64142835588607	2.59136597122505	2.53778371224027	2.73364540290275	2.69071106974034	2.48556902647605	2.60357465402436	2.62375991698111	2.66729008814732	2.65455400299248	2.56093101942895	2.48171640650789	2.82758356585518	2.48278934522351	2.69458605439993	2.57863662218314	2.77661296534543	2.63107396579207	2.64370538554739	2.75433951543349	2.66915542322	2.74888824714888	2.73501193327112	2.66405138664574	2.76508181681102	2.53487888636194	2.57030741057847	2.69298825025756	2.65073797812422	2.82393308715408	2.53887744065341	2.56587605371972	2.46500564046726	2.46637469523134	2.7237142034286	2.38331127183691	2.49664303905032	2.54465671163375	2.55643814506577	2.5488767726636	2.61401950006686	2.73804901062862	2.60958249057672	2.56002954131612	2.61176630721881	2.49232356718806	2.38765853629775	2.8407876991586	2.68012655960797	2.67991132896885	2.47576515028438	2.56169378744601	2.62097844711611	2.64160623319028	2.64023182119757	2.64446052800559	2.80068062930951	2.57403572091979	2.68637681906374	2.68138446325301	2.54991100904609	2.32084683072898	2.43081343966172	2.60668297694851	2.82668909843905	2.67724151711418	2.73391584432172	2.59872713850615	2.57798323784011	2.73171631557996	2.49340601201206	2.51244128552828	2.66989290297118	2.73524797567794	2.65905188345747	2.65639711006021	2.44277263740358	2.66774181413028	2.521050888515	2.61397208119056	2.79350233200788	2.60244857911528	2.58957053244193	2.40917437472417	2.32269770755393	2.74066895687983	2.58529108452226	2.28416437499064	2.26100421918956	2.25766403958323	2.13687416584426	2.3269591773326	2.30413857928074	2.40233320848791	2.43720929433135	2.44731581537287	2.41796663508142	2.28926835255423	2.54170764792938	2.05602183311935	2.60023351874999	2.18985824335396	2.29389106238842	2.58994374107559
